SS_Fiberhood;LAMKEY;NATURE;PBOX;BLOCK;FLOOR;APP
;4191311;SU;;;-1;-101
;4191311;LU;;;1;101
;4191311;LU;;;1;102
;4191311;LU;;;2;201
;4191311;LU;;;2;202
;4191311;LU;;;3;301
;4191311;LU;;;3;302
;3512861;LU;;;1;101
;3512862;LU;;;2;201
;3512864;LU;;;4;401
;3517983;SU;;;-1;
;3517983;LU;;;1;1
;3517983;LU;;;1;2
;3517983;LU;;;2;1
;3517983;LU;;;2;2
;3517983;LU;;;0;1
;4455761;SU;;;-1;
;4455761;LU;;;1;1
;4455761;LU;;;1;2
;4455761;LU;;;1;3
;4455761;LU;;;1;4
;4455761;LU;;;2;1
;4455761;LU;;;2;2
;4455761;LU;;;2;3
;4455761;LU;;;2;4
;NB-50001d3c643;SU;;;-1;1
;NB-50001d3c643;BU;;;Rdc;
;NB-50001d3c643;LU;;;Rdc;2
;NB-50001d3c643;LU;;;Rdc;3
;NB-50001d3c643;LU;;;1;11
;NB-50001d3c643;LU;;;1;12
;NB-50001d3c643;LU;;;1;13
;NB-50001d3c643;LU;;;2;21
;NB-50001d3c643;LU;;;2;22
;NB-50001d3c643;LU;;;2;23
;NB-50001d3c643;LU;;;3;31
;NB-50001d3c643;LU;;;3;32
;NB-50001d3c643;LU;;;3;33
;NB-50001d3c643;LU;;;4;41
;NB-50001d3c643;LU;;;4;42
;NB-50001d3c643;LU;;;4;43
;NB-50001d3c643;LU;;;5;51
;NB-50001d3c643;LU;;;5;52
;NB-50001d3c643;LU;;;5;53
;;BU;;;0;2
;NB-100017Add21;BU;-101;;-1;
;NB-100017Add21;BU;1;;0;
;NB-100017Add21;LU;101;;1;
;NB-100017Add21;LU;102;;1;
;NB-100017Add21;LU;103;;1;
;NB-100017Add21;LU;104;;1;
;NB-100017Add21;LU;105;;1;
;NB-100017Add21;LU;201;;2;
;NB-100017Add21;LU;301;;3;
;NB-100017Add21;LU;302;;3;
;NB-100017Add21;LU;303;;3;
;NB-100017Add21;LU;304;;3;
;NB-100017Add21;LU;305;;3;
;NB-100017Add21;LU;401;;4;
;NB-100017Add21;LU;402;;4;
;NB-100017Add21;LU;403;;4;
;NB-100017Add21;LU;404;;4;
;NB-100017Add21;LU;405;;4;
;NB-100017Add21;LU;501;;5;
;NB-100017Add21;LU;502;;5;
;NB-100017Add21;LU;503;;5;
;NB-100017Add21;LU;504;;5;
;NB-100017Add21;LU;505;;5;
;NB-100017Add21;LU;601;;6;
;NB-100017Add21;LU;602;;6;
;NB-100017Add21;LU;603;;6;
;NB-100017Add21;LU;604;;6;
;NB-100017Add21;LU;605;;6;
;NB-100017Add21;LU;701;;7;
;NB-100017Add21;LU;702;;7;
;NB-100017Add21;LU;703;;7;
;NB-100017Add21;LU;704;;7;
;NB-100017Add21;LU;705;;7;
;NB-100017Add21;LU;801;;8;
;NB-100017Add21;LU;802;;8;
;NB-100017Add21;LU;803;;8;
;NB-100017Add21;LU;804;;8;
;NB-100017Add21;LU;805;;8;
;NB-100017Add21;LU;901;;9;
;NB-100017Add21;LU;902;;9;
;NB-100017Add21;LU;903;;9;
;NB-100017Add21;LU;904;;9;
;NB-100017Add21;LU;905;;9;
;NB-100017Add21;SU;-1;;-1;
;NB-100017Add21;SU;-2;;-1;
;NB-100017Add21;SU;-3;;;
;NB-100017Add21;;;;;
;3515799;BU;;;0;1
;NB-100018A0608;SU;A;;-2;-201
;NB-100018A0608;SU;A;;-2;-202
;NB-100018A0608;LU;A;;0;1
;NB-100018A0608;LU;A;;0;2
;NB-100018A0608;LU;A;;0;3
;NB-100018A0608;LU;A;;1;101
;NB-100018A0608;LU;A;;1;102
;NB-100018A0608;LU;A;;1;103
;NB-100018A0608;LU;A;;1;104
;NB-100018A0608;LU;A;;1;105
;NB-100018A0608;LU;A;;1;106
;NB-100018A0608;LU;A;;1;107
;NB-100018A0608;LU;A;;1;108
;NB-100018A0608;LU;A;;3;301
;NB-100018A0608;LU;A;;3;302
;NB-100018A0608;LU;A;;3;303
;NB-100018A0608;LU;A;;3;304
;NB-100018A0608;LU;A;;3;305
;NB-100018A0608;LU;A;;3;306
;NB-100018A0608;LU;A;;3;307
;NB-100018A0608;LU;A;;3;308
;NB-100018A0608;LU;A;;4;401
;NB-100018A0608;LU;A;;4;402
;NB-100018A0608;LU;A;;4;403
;NB-100018A0608;LU;A;;4;404
;NB-100018A0608;LU;A;;4;405
;NB-100018A0608;LU;A;;4;406
;NB-100018A0608;LU;A;;4;407
;NB-100018A0608;LU;A;;4;408
;NB-100018A0608;LU;A;;5;501
