Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
HASSELT - FH02;5446607;BL0222;2;5446607;21140754;Capucienenstraat 17_Guffenslaan 50;Capucienenstraat;17;;;A;2019-10-01;Jo De Clippel;MDU;1;0;0;1;BUILDING template
HASSELT - FH02;675840;BL0222;2;675840;21140754;Capucienenstraat 17_Guffenslaan 50;Guffenslaan;50;;20191103202125;A;2019-10-01;Jo De Clippel;MDU;1;9;1;11;BUILDING template
HASSELT - FH02;2412717;BL0203;4;2412717;21140791;Demerstraat 64_Molenpoort 5;Demerstraat;64;;20191103202103;F;2019-05-28;Jo De Clippel;MDU;1;0;4;5;BUILDING template
HASSELT - FH02;2429668;BL0203;4;2429668;21140791;Demerstraat 64_Molenpoort 5;Molenpoort;5;;;F;2019-05-28;Jo De Clippel;MDU;1;0;0;1;BUILDING template
HASSELT - FH02;70912;BL0203;4;70912;27738408;Demerstraat 72-76-78-80-80A;Demerstraat;72;;;C;2019-06-27;Kust Hostyens;MDU;;3;2;5;BUILDING template
HASSELT - FH02;2412739;BL0203;4;2412739;27738408;Demerstraat 72-76-78-80-80A;Demerstraat;76;;;C;2019-06-27;Kust Hostyens;MDU;1;0;0;1;BUILDING template
HASSELT - FH02;70913;BL0203;4;70913;27738408;Demerstraat 72-76-78-80-80A;Demerstraat;78;;;C;2019-06-27;Kust Hostyens;MDU;;11;1;12;BUILDING template
HASSELT - FH02;70234;BL0203;4;70234;27738408;Demerstraat 72-76-78-80-80A;Demerstraat;80;;;C;2019-06-27;Kust Hostyens;MDU;3;115;;118;BUILDING template
HASSELT - FH02;5422373;BL0203;4;5422373;27738408;Demerstraat 72-76-78-80-80A;Demerstraat;80;A;;C;2019-06-27;Kust Hostyens;MDU;1;0;0;1;BUILDING template
HASSELT - FH02;2416637;BL0222;2;2416637;31650702;Guffenslaan 66-68-70;Guffenslaan;66;;;XC;2019-08-23;Jo De Clippel;MDU;1;0;0;1;BUILDING template
HASSELT - FH02;2416642;BL0222;2;2416642;31650702;Guffenslaan 66-68-70;Guffenslaan;68;;;XC;2019-08-23;Jo De Clippel;MDU;2;7;1;10;BUILDING template
HASSELT - FH02;2416644;BL0222;2;2416644;31650702;Guffenslaan 66-68-70;Guffenslaan;70;;;XC;2019-08-23;Jo De Clippel;MDU;1;0;0;1;BUILDING template
HASSELT - FH02;2418517;BL0234;3;2418517;;Hoogstraat 10-12;Hoogstraat;12;;;;2019-09-30 10:25:19;Jo De Clippel;MDU;0;1;0;1;BUILDING template
HASSELT - FH02;4856441;BL0234;3;4856441;;Hoogstraat 10-12;Hoogstraat;10;;;;2019-09-30 10:25:19;Jo De Clippel;MDU;1;0;0;1;BUILDING template
