LAM_MK;SSV_Action;LU_Key;SSV_Action_LU;Opdrachtnummer;LAM MK
109340;DELETE;11210547;DELETE;;
109337;DELETE;1683753;DELETE;;
4508930;DELETE;11210697;DELETE;;
2065151;DELETE;11210701;DELETE;;
109370;DELETE;1860919;DELETE;;
;;11210705;DELETE;;
;;11210362;DELETE;;
;;1615071;DELETE;;
;;1683787;DELETE;;
;;1769870;DELETE;;
;;1683553;DELETE;;
;;1615068;DELETE;;
;;11210540;DELETE;;
;;1783294;DELETE;;
;;1783292;DELETE;;
;;11210544;DELETE;;
;;1683323;DELETE;;
;;1615072;DELETE;;
;;11210541;DELETE;;
;;1841702;DELETE;;
;;11210703;DELETE;;
;;1783297;DELETE;;
;;1841701;DELETE;;
;;11210718;DELETE;;
;;11210704;DELETE;;
;;1615070;DELETE;;
;;1766264;DELETE;;
;;11210364;DELETE;;
;;1802785;DELETE;;
;;1860917;DELETE;;
;;11210394;DELETE;;
;;11210719;DELETE;;
;;11210545;DELETE;;
;;1683522;DELETE;;
;;11210694;DELETE;;
;;1783293;DELETE;;
;;1860920;DELETE;;
;;11210539;DELETE;;
;;11210381;DELETE;;
;;11194013;DELETE;;
;;1693501;DELETE;;
;;1615073;DELETE;;
;;11194159;DELETE;;
;;11210538;DELETE;;
;;1783295;DELETE;;
;;11210260;DELETE;;
;;11210361;DELETE;;
;;1783296;DELETE;;
;;11210699;DELETE;;
;;11210382;DELETE;;
;;1860918;DELETE;;
;;11210385;DELETE;;
;;1841703;DELETE;;
;;1775665;DELETE;;
;;11210384;DELETE;;
;;1615067;DELETE;;
;;11210702;DELETE;;
;;1615069;DELETE;;
;;11210365;DELETE;;
;;11210543;DELETE;;
;;11210542;DELETE;;
;;1783291;DELETE;;
;;11210537;DELETE;;
;;1824077;DELETE;;
;;11210700;DELETE;;
;;11210363;DELETE;;
;;11210698;DELETE;;
;;1783298;DELETE;;
;;11210546;DELETE;;
;;11210261;DELETE;;
;;11210720;DELETE;;
;;1754690;DELETE;;
