Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Building comment;Opdrachttemplate
SINT-NIKLAAS - FH02;BL0201;6453187;Stationsplein;30;D;;134265,411;206765,589;SDU;;0;1;0;1;N;IRREG;4;;BUILDING template
SINT-NIKLAAS - FH02;BL0201;6453188;Stationsplein;30;C;;134282,177;206774,474;SDU;;0;1;0;1;N;IRREG;4;;BUILDING template
SINT-NIKLAAS - FH02;BL0201;5899322;Stationsplein;30;B;;134298,356;206783,536;MDU;;11;0;0;11;N;IRREG;4;;BUILDING template
SINT-NIKLAAS - FH02;BL0201;5920356;Stationsplein;29;C;;134312,051;206790,411;SDU;;0;1;0;1;N;IRREG;4;;BUILDING template
SINT-NIKLAAS - FH02;BL0201;6051618;Stationsplein;29;B;;134319,586;206795,12;MDU;;10;0;1;11;N;IRREG;4;;BUILDING template
SINT-NIKLAAS - FH02;BL0201;4462014;Stationsplein;22;;;134368,169;206821,647;SDU;;0;1;0;1;N;IRREG;4;;BUILDING template
SINT-NIKLAAS - FH02;BL0201;6004510;Stationsplein;19;B;;134395,879;206836,824;SDU;;0;1;0;1;N;IRREG;4;;BUILDING template
SINT-NIKLAAS - FH02;BL0201;6004501;Stationsplein;19;A;;134401,291;206839,472;MDU;;7;0;0;7;N;IRREG;4;;BUILDING template
SINT-NIKLAAS - FH02;BL0201;3948737;Mercatorstraat;36;B;;134376,174;206703,708;MDU;;3;0;0;3;N;IRREG;3;;BUILDING template
SINT-NIKLAAS - FH02;BL0201;3504351;Mercatorstraat;36;C;;134380,559;206702,375;MDU;;2;0;0;2;N;IRREG;3;;BUILDING template
SINT-NIKLAAS - FH02;BL0201;56090;Mercatorstraat;2;;;134261,058;206752,708;SDU;;0;1;0;1;N;IRREG;4;_;BUILDING template
SINT-NIKLAAS - FH02;BL0201;6424446;Mercatorstraat;12;A;;134287;206742;SDU;;0;1;0;1;N;IRREG;1;_;BUILDING template
SINT-NIKLAAS - FH02;BL0201;4462001;Mercatorstraat;4;;;134269,234;206750,178;MDU;;17;0;0;17;N;IRREG;5;BE;BUILDING template
SINT-NIKLAAS - FH02;BL0201;6448058;Mercatorstraat;12;B;;134289,177;206751,063;MDU;;2;0;0;2;N;IRREG;2;_;BUILDING template
