OpdrachtID,Projectnummer,Opdrachttemplate,Opdrachtnummer,"Opdrachtnummer extern","BUILDING KEY",Straat,Huisnummer,"Huisnummer Toevoeging","SSV Action","SSV Action LU",Nature,"Building exists"
551130,"KNOKKE-HEIST - FH04","BUILDING template",12860,,12860,Zeewindstraat,16,,,,,
551131,"KNOKKE-HEIST - FH04","BUILDING template",12872,,12872,Golvenstraat,19,,,,,
551132,"KNOKKE-HEIST - FH04","BUILDING template",13044,,13044,Lichttorenplein,6,,,,,
551133,"KNOKKE-HEIST - FH04","BUILDING template",320854,,320854,Albertplein,15,,,,,
551134,"KNOKKE-HEIST - FH04","BUILDING template",320855,,320855,Albertplein,19,,,,,
551135,"KNOKKE-HEIST - FH04","BUILDING template",320856,,320856,Albertplein,18,,,,,
551136,"KNOKKE-HEIST - FH04","BUILDING template",320857,,320857,Albertplein,16,,,,,
551137,"KNOKKE-HEIST - FH04","BUILDING template",320858,,320858,Golvenstraat,6,,,,,
551138,"KNOKKE-HEIST - FH04","BUILDING template",320859,,320859,Golvenstraat,2,,,,,
551139,"KNOKKE-HEIST - FH04","BUILDING template",320860,,320860,Golvenstraat,8,,,,,
551140,"KNOKKE-HEIST - FH04","BUILDING template",320866,,320866,Kustlaan,181,,,,,
551141,"KNOKKE-HEIST - FH04","BUILDING template",320867,,320867,Kustlaan,185,,,,,
551142,"KNOKKE-HEIST - FH04","BUILDING template",320870,,320870,Kustlaan,147,,,,,
551143,"KNOKKE-HEIST - FH04","BUILDING template",320871,,320871,Kustlaan,169,,,,,
551144,"KNOKKE-HEIST - FH04","BUILDING template",321354,,321354,"Zeedijk-Het Zoute",804,,,,,
551145,"KNOKKE-HEIST - FH04","BUILDING template",321356,,321356,Zeewindstraat,2,,,,,
551146,"KNOKKE-HEIST - FH04","BUILDING template",321358,,321358,Zeewindstraat,8,,,,,
551147,"KNOKKE-HEIST - FH04","BUILDING template",321360,,321360,Zeewindstraat,14,,,,,
551148,"KNOKKE-HEIST - FH04","BUILDING template",321361,,321361,Zeewindstraat,17,,,,,
551149,"KNOKKE-HEIST - FH04","BUILDING template",321362,,321362,Strandstraat,1,,,,,
551150,"KNOKKE-HEIST - FH04","BUILDING template",321363,,321363,Strandstraat,13,,,,,
551151,"KNOKKE-HEIST - FH04","BUILDING template",321364,,321364,Ebbestraat,1,,,,,
551152,"KNOKKE-HEIST - FH04","BUILDING template",321985,,321985,"Zeedijk-Het Zoute",807,,,,,
551153,"KNOKKE-HEIST - FH04","BUILDING template",321986,,321986,"Zeedijk-Het Zoute",814,,,,,
551154,"KNOKKE-HEIST - FH04","BUILDING template",321988,,321988,"Zeedijk-Het Zoute",819,,,,,
551155,"KNOKKE-HEIST - FH04","BUILDING template",321992,,321992,Kustlaan,337,,,,,
551156,"KNOKKE-HEIST - FH04","BUILDING template",321994,,321994,Ebbestraat,2,,,,,
551157,"KNOKKE-HEIST - FH04","BUILDING template",321996,,321996,Ebbestraat,10,,,,,
551158,"KNOKKE-HEIST - FH04","BUILDING template",322000,,322000,"De Wielingen",1,,,,,
551159,"KNOKKE-HEIST - FH04","BUILDING template",322281,,322281,Golvenstraat,1,,,,,
551160,"KNOKKE-HEIST - FH04","BUILDING template",322284,,322284,Strandstraat,22,,,,,
551161,"KNOKKE-HEIST - FH04","BUILDING template",322286,,322286,"Zeedijk-Het Zoute",777,,,,,
551162,"KNOKKE-HEIST - FH04","BUILDING template",322287,,322287,Kustlaan,231,,,,,
551163,"KNOKKE-HEIST - FH04","BUILDING template",322289,,322289,Kustlaan,187,,,,,
551164,"KNOKKE-HEIST - FH04","BUILDING template",322818,,322818,"De Wielingen",10,,,,,
551165,"KNOKKE-HEIST - FH04","BUILDING template",323112,,323112,Kustlaan,1,,,,,
551166,"KNOKKE-HEIST - FH04","BUILDING template",334954,,334954,Zeedijk-Knokke,649,,,,,
551167,"KNOKKE-HEIST - FH04","BUILDING template",334955,,334955,Zeedijk-Knokke,650,,,,,
551168,"KNOKKE-HEIST - FH04","BUILDING template",334957,,334957,Zeedijk-Knokke,661,,,,,
551169,"KNOKKE-HEIST - FH04","BUILDING template",334958,,334958,Zeedijk-Knokke,670,,,,,
551170,"KNOKKE-HEIST - FH04","BUILDING template",334964,,334964,Kustlaan,13,,,,,
551171,"KNOKKE-HEIST - FH04","BUILDING template",334965,,334965,Kustlaan,19,,,,,
551172,"KNOKKE-HEIST - FH04","BUILDING template",334968,,334968,Lichttorenplein,10,,,,,
551173,"KNOKKE-HEIST - FH04","BUILDING template",334969,,334969,Lichttorenplein,16,,,,,
551174,"KNOKKE-HEIST - FH04","BUILDING template",334970,,334970,Lichttorenplein,18,,,,,
551175,"KNOKKE-HEIST - FH04","BUILDING template",334973,,334973,"Van Bunnenplein",20,,,,,
551176,"KNOKKE-HEIST - FH04","BUILDING template",334974,,334974,"Van Bunnenplein",19,,,,,
551177,"KNOKKE-HEIST - FH04","BUILDING template",334976,,334976,"Van Bunnenplein",12,,,,,
551178,"KNOKKE-HEIST - FH04","BUILDING template",334977,,334977,Lichttorenplein,1,,,,,
551179,"KNOKKE-HEIST - FH04","BUILDING template",334978,,334978,Lichttorenplein,5,,,,,
551180,"KNOKKE-HEIST - FH04","BUILDING template",334980,,334980,Lichttorenplein,13,,,,,
551181,"KNOKKE-HEIST - FH04","BUILDING template",334983,,334983,Marie-Josestraat,2,,,,,
551182,"KNOKKE-HEIST - FH04","BUILDING template",335025,,335025,Kustlaan,53,,,,,
551183,"KNOKKE-HEIST - FH04","BUILDING template",335026,,335026,Kustlaan,43,,,,,
551184,"KNOKKE-HEIST - FH04","BUILDING template",335027,,335027,Swolfsstraat,1,,,,,
551185,"KNOKKE-HEIST - FH04","BUILDING template",335031,,335031,Zandstraat,22,,,,,
551186,"KNOKKE-HEIST - FH04","BUILDING template",335032,,335032,Zandstraat,6,,,,,
551187,"KNOKKE-HEIST - FH04","BUILDING template",335034,,335034,Zandstraat,2,,,,,
551188,"KNOKKE-HEIST - FH04","BUILDING template",335093,,335093,"Zeedijk-Het Zoute",700,,,,,
551189,"KNOKKE-HEIST - FH04","BUILDING template",335095,,335095,"Zeedijk-Het Zoute",705,,,,,
551190,"KNOKKE-HEIST - FH04","BUILDING template",335096,,335096,"Zeedijk-Het Zoute",708,,,,,
551191,"KNOKKE-HEIST - FH04","BUILDING template",335097,,335097,"Zeedijk-Het Zoute",714,,,,,
551192,"KNOKKE-HEIST - FH04","BUILDING template",335098,,335098,"Zeedijk-Het Zoute",718,,,,,
551193,"KNOKKE-HEIST - FH04","BUILDING template",335099,,335099,Kustlaan,55,,,,,
551194,"KNOKKE-HEIST - FH04","BUILDING template",335100,,335100,Kustlaan,57,,,,,
551195,"KNOKKE-HEIST - FH04","BUILDING template",335102,,335102,Kustlaan,95,,,,,
551196,"KNOKKE-HEIST - FH04","BUILDING template",335103,,335103,Kustlaan,85,,,,,
551197,"KNOKKE-HEIST - FH04","BUILDING template",335104,,335104,Kustlaan,63,,,,,
551198,"KNOKKE-HEIST - FH04","BUILDING template",335109,,335109,Zandstraat,15,,,,,
551199,"KNOKKE-HEIST - FH04","BUILDING template",335112,,335112,Duindistelstraat,4,,,,,
551200,"KNOKKE-HEIST - FH04","BUILDING template",335113,,335113,Duindistelstraat,2,,,,,
551201,"KNOKKE-HEIST - FH04","BUILDING template",335114,,335114,Duindistelstraat,17,,,,,
551202,"KNOKKE-HEIST - FH04","BUILDING template",335115,,335115,Duindistelstraat,1,,,,,
551203,"KNOKKE-HEIST - FH04","BUILDING template",335116,,335116,Duindistelstraat,6,,,,,
551204,"KNOKKE-HEIST - FH04","BUILDING template",335118,,335118,"Antoine Breartstraat",13,,,,,
551205,"KNOKKE-HEIST - FH04","BUILDING template",335120,,335120,"Antoine Breartstraat",1,,,,,
551206,"KNOKKE-HEIST - FH04","BUILDING template",335746,,335746,"Zeedijk-Het Zoute",735,,,,,
551207,"KNOKKE-HEIST - FH04","BUILDING template",335748,,335748,Kustlaan,97,,,,,
551208,"KNOKKE-HEIST - FH04","BUILDING template",335749,,335749,Kustlaan,127,,,,,
551209,"KNOKKE-HEIST - FH04","BUILDING template",335751,,335751,Kustlaan,123,,,,,
551210,"KNOKKE-HEIST - FH04","BUILDING template",335752,,335752,"Antoine Breartstraat",18,,,,,
551211,"KNOKKE-HEIST - FH04","BUILDING template",335753,,335753,"Antoine Breartstraat",6,,,,,
551212,"KNOKKE-HEIST - FH04","BUILDING template",337097,,337097,Zeedijk-Knokke,673,,,,,
551213,"KNOKKE-HEIST - FH04","BUILDING template",337098,,337098,Zeedijk-Knokke,685,,,,,
551214,"KNOKKE-HEIST - FH04","BUILDING template",337100,,337100,Zeedijk-Knokke,678,,,,,
551215,"KNOKKE-HEIST - FH04","BUILDING template",337101,,337101,Zeedijk-Knokke,680,,,,,
551216,"KNOKKE-HEIST - FH04","BUILDING template",337103,,337103,Kustlaan,23,,,,,
551217,"KNOKKE-HEIST - FH04","BUILDING template",337107,,337107,Swolfsstraat,2,,,,,
551218,"KNOKKE-HEIST - FH04","BUILDING template",337108,,337108,Swolfsstraat,6,,,,,
551219,"KNOKKE-HEIST - FH04","BUILDING template",337111,,337111,Marie-Josestraat,7,,,,,
551220,"KNOKKE-HEIST - FH04","BUILDING template",337115,,337115,Marie-Josestraat,14,,,,,
551221,"KNOKKE-HEIST - FH04","BUILDING template",337141,,337141,Albertplein,5,,,,,
551222,"KNOKKE-HEIST - FH04","BUILDING template",337142,,337142,"Zeedijk-Het Zoute",739,,,,,
551223,"KNOKKE-HEIST - FH04","BUILDING template",337143,,337143,"Zeedijk-Het Zoute",743,,,,,
551224,"KNOKKE-HEIST - FH04","BUILDING template",337147,,337147,Kustlaan,131,,,,,
551225,"KNOKKE-HEIST - FH04","BUILDING template",337592,,337592,Zeedijk-Knokke,648,,,,,
551226,"KNOKKE-HEIST - FH04","BUILDING template",1322806,,1322806,"Zeedijk-Het Zoute",767,,,,,
551227,"KNOKKE-HEIST - FH04","BUILDING template",1327494,,1327494,"Zeedijk-Het Zoute",715,,,,,
551228,"KNOKKE-HEIST - FH04","BUILDING template",1327496,,1327496,"Zeedijk-Het Zoute",724,,,,,
551229,"KNOKKE-HEIST - FH04","BUILDING template",1327497,,1327497,"Zeedijk-Het Zoute",737,,,,,
551230,"KNOKKE-HEIST - FH04","BUILDING template",1338057,,1338057,Kustlaan,249,,,,,
551231,"KNOKKE-HEIST - FH04","BUILDING template",1338390,,1338390,Kustlaan,111,,,,,
551232,"KNOKKE-HEIST - FH04","BUILDING template",1523310,,1523310,Albertplein,2,,,,,
551233,"KNOKKE-HEIST - FH04","BUILDING template",2757624,,2757624,Albertplein,3,,,,,
551234,"KNOKKE-HEIST - FH04","BUILDING template",2757627,,2757627,Albertplein,7,,,,,
551235,"KNOKKE-HEIST - FH04","BUILDING template",2757628,,2757628,Albertplein,8,,,,,
551236,"KNOKKE-HEIST - FH04","BUILDING template",2758353,,2758353,"Antoine Breartstraat",2,,,,,
551237,"KNOKKE-HEIST - FH04","BUILDING template",2758359,,2758359,"Antoine Breartstraat",7,,,,,
551238,"KNOKKE-HEIST - FH04","BUILDING template",2758360,,2758360,"Antoine Breartstraat",8,,,,,
551239,"KNOKKE-HEIST - FH04","BUILDING template",2758364,,2758364,"Antoine Breartstraat",12,,,,,
551240,"KNOKKE-HEIST - FH04","BUILDING template",2758369,,2758369,"Antoine Breartstraat",14,,,,,
551241,"KNOKKE-HEIST - FH04","BUILDING template",2758371,,2758371,"Antoine Breartstraat",17,,,,,
551242,"KNOKKE-HEIST - FH04","BUILDING template",2758566,,2758566,"Van Bunnenplein",15,,,,,
551243,"KNOKKE-HEIST - FH04","BUILDING template",2758570,,2758570,"Van Bunnenplein",18,,,,,
551244,"KNOKKE-HEIST - FH04","BUILDING template",2759116,,2759116,Duindistelstraat,5,,,,,
551245,"KNOKKE-HEIST - FH04","BUILDING template",2759118,,2759118,Duindistelstraat,7,,,,,
551246,"KNOKKE-HEIST - FH04","BUILDING template",2759119,,2759119,Duindistelstraat,9,,,,,
551247,"KNOKKE-HEIST - FH04","BUILDING template",2759121,,2759121,Duindistelstraat,11,,,,,
551248,"KNOKKE-HEIST - FH04","BUILDING template",2759123,,2759123,Duindistelstraat,12,,,,,
551249,"KNOKKE-HEIST - FH04","BUILDING template",2759125,,2759125,Duindistelstraat,15,,,,,
551250,"KNOKKE-HEIST - FH04","BUILDING template",2759447,,2759447,Ebbestraat,3,,,,,
551251,"KNOKKE-HEIST - FH04","BUILDING template",2759449,,2759449,Ebbestraat,5,,,,,
551252,"KNOKKE-HEIST - FH04","BUILDING template",2759451,,2759451,Ebbestraat,8,,,,,
551253,"KNOKKE-HEIST - FH04","BUILDING template",2760023,,2760023,Golvenstraat,4,,,,,
551254,"KNOKKE-HEIST - FH04","BUILDING template",2760024,,2760024,Golvenstraat,5,,,,,
551255,"KNOKKE-HEIST - FH04","BUILDING template",2760027,,2760027,Golvenstraat,9,,,,,
551256,"KNOKKE-HEIST - FH04","BUILDING template",2760029,,2760029,Golvenstraat,11,,,,,
551257,"KNOKKE-HEIST - FH04","BUILDING template",2760031,,2760031,Golvenstraat,13,,,,,
551258,"KNOKKE-HEIST - FH04","BUILDING template",2760032,,2760032,Golvenstraat,15,,,,,
551259,"KNOKKE-HEIST - FH04","BUILDING template",2761461,,2761461,Zeedijk-Knokke,653,,,,,
551260,"KNOKKE-HEIST - FH04","BUILDING template",2761466,,2761466,Zeedijk-Knokke,657,,,,,
551261,"KNOKKE-HEIST - FH04","BUILDING template",2761472,,2761472,Zeedijk-Knokke,660,,,,,
551262,"KNOKKE-HEIST - FH04","BUILDING template",2761475,,2761475,Zeedijk-Knokke,662,,,,,
551263,"KNOKKE-HEIST - FH04","BUILDING template",2761477,,2761477,Zeedijk-Knokke,663,,,,,
551264,"KNOKKE-HEIST - FH04","BUILDING template",2761479,,2761479,Zeedijk-Knokke,666,,,,,
551265,"KNOKKE-HEIST - FH04","BUILDING template",2761485,,2761485,Zeedijk-Knokke,669,,,,,
551266,"KNOKKE-HEIST - FH04","BUILDING template",2761490,,2761490,Zeedijk-Knokke,672,,,,,
551267,"KNOKKE-HEIST - FH04","BUILDING template",2761494,,2761494,Zeedijk-Knokke,676,,,,,
551268,"KNOKKE-HEIST - FH04","BUILDING template",2761501,,2761501,Zeedijk-Knokke,682,,,,,
551269,"KNOKKE-HEIST - FH04","BUILDING template",2761505,,2761505,Zeedijk-Knokke,689,,,,,
551270,"KNOKKE-HEIST - FH04","BUILDING template",2761507,,2761507,Zeedijk-Knokke,691,,,,,
551271,"KNOKKE-HEIST - FH04","BUILDING template",2761511,,2761511,Zeedijk-Knokke,693,,,,,
551272,"KNOKKE-HEIST - FH04","BUILDING template",2761516,,2761516,Zeedijk-Knokke,696,,,,,
551273,"KNOKKE-HEIST - FH04","BUILDING template",2761517,,2761517,Zeedijk-Knokke,697,,,,,
551274,"KNOKKE-HEIST - FH04","BUILDING template",2762279,,2762279,Kustlaan,13,A,,,,
551275,"KNOKKE-HEIST - FH04","BUILDING template",2762280,,2762280,Kustlaan,13,B,,,,
551276,"KNOKKE-HEIST - FH04","BUILDING template",2762281,,2762281,Kustlaan,15,,,,,
551277,"KNOKKE-HEIST - FH04","BUILDING template",2762283,,2762283,Kustlaan,17,,,,,
551278,"KNOKKE-HEIST - FH04","BUILDING template",2762292,,2762292,Kustlaan,29,,,,,
551279,"KNOKKE-HEIST - FH04","BUILDING template",2762294,,2762294,Kustlaan,31,,,,,
551280,"KNOKKE-HEIST - FH04","BUILDING template",2762299,,2762299,Kustlaan,35,,,,,
551281,"KNOKKE-HEIST - FH04","BUILDING template",2762308,,2762308,Kustlaan,45,,,,,
551282,"KNOKKE-HEIST - FH04","BUILDING template",2762313,,2762313,Kustlaan,51,,,,,
551283,"KNOKKE-HEIST - FH04","BUILDING template",2762318,,2762318,Kustlaan,59,,,,,
551284,"KNOKKE-HEIST - FH04","BUILDING template",2762329,,2762329,Kustlaan,67,,,,,
551285,"KNOKKE-HEIST - FH04","BUILDING template",2762333,,2762333,Kustlaan,71,,,,,
551286,"KNOKKE-HEIST - FH04","BUILDING template",2762336,,2762336,Kustlaan,75,,,,,
551287,"KNOKKE-HEIST - FH04","BUILDING template",2762343,,2762343,Kustlaan,81,,,,,
551288,"KNOKKE-HEIST - FH04","BUILDING template",2762344,,2762344,Kustlaan,83,,,,,
551289,"KNOKKE-HEIST - FH04","BUILDING template",2762347,,2762347,Kustlaan,87,,,,,
551290,"KNOKKE-HEIST - FH04","BUILDING template",2762349,,2762349,Kustlaan,89,,,,,
551291,"KNOKKE-HEIST - FH04","BUILDING template",2762351,,2762351,Kustlaan,91,,,,,
551292,"KNOKKE-HEIST - FH04","BUILDING template",2762354,,2762354,Kustlaan,93,,,,,
551293,"KNOKKE-HEIST - FH04","BUILDING template",2762363,,2762363,Kustlaan,103,,,,,
551294,"KNOKKE-HEIST - FH04","BUILDING template",2762365,,2762365,Kustlaan,105,,,,,
551295,"KNOKKE-HEIST - FH04","BUILDING template",2762366,,2762366,Kustlaan,107,,,,,
551296,"KNOKKE-HEIST - FH04","BUILDING template",2762370,,2762370,Kustlaan,115,,,,,
551297,"KNOKKE-HEIST - FH04","BUILDING template",2762373,,2762373,Kustlaan,119,,,,,
551298,"KNOKKE-HEIST - FH04","BUILDING template",2762376,,2762376,Kustlaan,121,,,,,
551299,"KNOKKE-HEIST - FH04","BUILDING template",2762409,,2762409,Kustlaan,151,,,,,
551300,"KNOKKE-HEIST - FH04","BUILDING template",2762416,,2762416,Kustlaan,157,,,,,
551301,"KNOKKE-HEIST - FH04","BUILDING template",2762425,,2762425,Kustlaan,161,,,,,
551302,"KNOKKE-HEIST - FH04","BUILDING template",2762427,,2762427,Kustlaan,165,,,,,
551303,"KNOKKE-HEIST - FH04","BUILDING template",2762431,,2762431,Kustlaan,171,,,,,
551304,"KNOKKE-HEIST - FH04","BUILDING template",2762436,,2762436,Kustlaan,175,,,,,
551305,"KNOKKE-HEIST - FH04","BUILDING template",2762440,,2762440,Kustlaan,179,,,,,
551306,"KNOKKE-HEIST - FH04","BUILDING template",2762459,,2762459,Kustlaan,193,,,,,
551307,"KNOKKE-HEIST - FH04","BUILDING template",2762470,,2762470,Kustlaan,197,,,,,
551308,"KNOKKE-HEIST - FH04","BUILDING template",2762474,,2762474,Kustlaan,201,,,,,
551309,"KNOKKE-HEIST - FH04","BUILDING template",2762477,,2762477,Kustlaan,207,,,,,
551310,"KNOKKE-HEIST - FH04","BUILDING template",2762479,,2762479,Kustlaan,209,,,,,
551311,"KNOKKE-HEIST - FH04","BUILDING template",2762480,,2762480,Kustlaan,211,,,,,
551312,"KNOKKE-HEIST - FH04","BUILDING template",2762481,,2762481,Kustlaan,215,,,,,
551313,"KNOKKE-HEIST - FH04","BUILDING template",2762482,,2762482,Kustlaan,217,,,,,
551314,"KNOKKE-HEIST - FH04","BUILDING template",2762487,,2762487,Kustlaan,221,,,,,
551315,"KNOKKE-HEIST - FH04","BUILDING template",2762489,,2762489,Kustlaan,229,,,,,
551316,"KNOKKE-HEIST - FH04","BUILDING template",2762492,,2762492,Kustlaan,233,,,,,
551317,"KNOKKE-HEIST - FH04","BUILDING template",2762498,,2762498,Kustlaan,243,,,,,
551318,"KNOKKE-HEIST - FH04","BUILDING template",2762500,,2762500,Kustlaan,245,,,,,
551319,"KNOKKE-HEIST - FH04","BUILDING template",2762501,,2762501,Kustlaan,251,,,,,
551320,"KNOKKE-HEIST - FH04","BUILDING template",2762503,,2762503,Kustlaan,255,,,,,
551321,"KNOKKE-HEIST - FH04","BUILDING template",2762504,,2762504,Kustlaan,257,,,,,
551322,"KNOKKE-HEIST - FH04","BUILDING template",2762505,,2762505,Kustlaan,259,,,,,
551323,"KNOKKE-HEIST - FH04","BUILDING template",2762508,,2762508,Kustlaan,261,,,,,
551324,"KNOKKE-HEIST - FH04","BUILDING template",2762510,,2762510,Kustlaan,263,,,,,
551325,"KNOKKE-HEIST - FH04","BUILDING template",2762515,,2762515,Kustlaan,267,,,,,
551326,"KNOKKE-HEIST - FH04","BUILDING template",2762518,,2762518,Kustlaan,275,,,,,
551327,"KNOKKE-HEIST - FH04","BUILDING template",2762519,,2762519,Kustlaan,279,,,,,
551328,"KNOKKE-HEIST - FH04","BUILDING template",2762521,,2762521,Kustlaan,281,,,,,
551329,"KNOKKE-HEIST - FH04","BUILDING template",2762525,,2762525,Kustlaan,285,,,,,
551330,"KNOKKE-HEIST - FH04","BUILDING template",2762529,,2762529,Kustlaan,289,,,,,
551331,"KNOKKE-HEIST - FH04","BUILDING template",2762530,,2762530,Kustlaan,291,,,,,
551332,"KNOKKE-HEIST - FH04","BUILDING template",2762538,,2762538,Kustlaan,301,,,,,
551333,"KNOKKE-HEIST - FH04","BUILDING template",2762541,,2762541,Kustlaan,313,,,,,
551334,"KNOKKE-HEIST - FH04","BUILDING template",2762543,,2762543,Kustlaan,315,,,,,
551335,"KNOKKE-HEIST - FH04","BUILDING template",2762544,,2762544,Kustlaan,317,,,,,
551336,"KNOKKE-HEIST - FH04","BUILDING template",2762548,,2762548,Kustlaan,321,,,,,
551337,"KNOKKE-HEIST - FH04","BUILDING template",2762551,,2762551,Kustlaan,325,,,,,
551338,"KNOKKE-HEIST - FH04","BUILDING template",2762552,,2762552,Kustlaan,327,,,,,
551339,"KNOKKE-HEIST - FH04","BUILDING template",2762558,,2762558,Kustlaan,339,,,,,
551340,"KNOKKE-HEIST - FH04","BUILDING template",2762561,,2762561,Kustlaan,343,,,,,
551341,"KNOKKE-HEIST - FH04","BUILDING template",2762564,,2762564,Kustlaan,345,,,,,
551342,"KNOKKE-HEIST - FH04","BUILDING template",2762922,,2762922,Lichttorenplein,14,,,,,
551343,"KNOKKE-HEIST - FH04","BUILDING template",2763519,,2763519,Marie-Josestraat,6,,,,,
551344,"KNOKKE-HEIST - FH04","BUILDING template",2763524,,2763524,Marie-Josestraat,9,,,,,
551345,"KNOKKE-HEIST - FH04","BUILDING template",2763525,,2763525,Marie-Josestraat,10,,,,,
551346,"KNOKKE-HEIST - FH04","BUILDING template",2763526,,2763526,Marie-Josestraat,11,,,,,
551347,"KNOKKE-HEIST - FH04","BUILDING template",2763527,,2763527,Marie-Josestraat,12,,,,,
551348,"KNOKKE-HEIST - FH04","BUILDING template",2763531,,2763531,Marie-Josestraat,13,,,,,
551349,"KNOKKE-HEIST - FH04","BUILDING template",2763533,,2763533,Marie-Josestraat,16,,,,,
551350,"KNOKKE-HEIST - FH04","BUILDING template",2766752,,2766752,Strandstraat,2,,,,,
551351,"KNOKKE-HEIST - FH04","BUILDING template",2766753,,2766753,Strandstraat,3,,,,,
551352,"KNOKKE-HEIST - FH04","BUILDING template",2766756,,2766756,Strandstraat,5,,,,,
551353,"KNOKKE-HEIST - FH04","BUILDING template",2766758,,2766758,Strandstraat,7,,,,,
551354,"KNOKKE-HEIST - FH04","BUILDING template",2766759,,2766759,Strandstraat,8,,,,,
551355,"KNOKKE-HEIST - FH04","BUILDING template",2766761,,2766761,Strandstraat,9,,,,,
551356,"KNOKKE-HEIST - FH04","BUILDING template",2766762,,2766762,Strandstraat,11,,,,,
551357,"KNOKKE-HEIST - FH04","BUILDING template",2766763,,2766763,Strandstraat,12,,,,,
551358,"KNOKKE-HEIST - FH04","BUILDING template",2766768,,2766768,Strandstraat,18,,,,,
551359,"KNOKKE-HEIST - FH04","BUILDING template",2766774,,2766774,Swolfsstraat,4,,,,,
551360,"KNOKKE-HEIST - FH04","BUILDING template",2766775,,2766775,Swolfsstraat,5,,,,,
551361,"KNOKKE-HEIST - FH04","BUILDING template",2766782,,2766782,Swolfsstraat,9,,,,,
551362,"KNOKKE-HEIST - FH04","BUILDING template",2766785,,2766785,Swolfsstraat,11,,,,,
551363,"KNOKKE-HEIST - FH04","BUILDING template",2766786,,2766786,Swolfsstraat,12,,,,,
551364,"KNOKKE-HEIST - FH04","BUILDING template",2766787,,2766787,Swolfsstraat,13,,,,,
551365,"KNOKKE-HEIST - FH04","BUILDING template",2766788,,2766788,Swolfsstraat,14,,,,,
551366,"KNOKKE-HEIST - FH04","BUILDING template",2766791,,2766791,Swolfsstraat,17,,,,,
551367,"KNOKKE-HEIST - FH04","BUILDING template",2767771,,2767771,"De Wielingen",3,,,,,
551368,"KNOKKE-HEIST - FH04","BUILDING template",2767773,,2767773,"De Wielingen",5,,,,,
551369,"KNOKKE-HEIST - FH04","BUILDING template",2767775,,2767775,"De Wielingen",7,,,,,
551370,"KNOKKE-HEIST - FH04","BUILDING template",2767792,,2767792,"De Wielingen",23,,,,,
551371,"KNOKKE-HEIST - FH04","BUILDING template",2767838,,2767838,Zandstraat,5,,,,,
551372,"KNOKKE-HEIST - FH04","BUILDING template",2767840,,2767840,Zandstraat,8,,,,,
551373,"KNOKKE-HEIST - FH04","BUILDING template",2767841,,2767841,Zandstraat,9,,,,,
551374,"KNOKKE-HEIST - FH04","BUILDING template",2767843,,2767843,Zandstraat,10,,,,,
551375,"KNOKKE-HEIST - FH04","BUILDING template",2767846,,2767846,Zandstraat,13,,,,,
551376,"KNOKKE-HEIST - FH04","BUILDING template",2767847,,2767847,Zandstraat,14,,,,,
551377,"KNOKKE-HEIST - FH04","BUILDING template",2767848,,2767848,Zandstraat,18,,,,,
551378,"KNOKKE-HEIST - FH04","BUILDING template",2767849,,2767849,Zandstraat,20,,,,,
551379,"KNOKKE-HEIST - FH04","BUILDING template",2767894,,2767894,Zeewindstraat,5,,,,,
551380,"KNOKKE-HEIST - FH04","BUILDING template",2767895,,2767895,Zeewindstraat,7,,,,,
551381,"KNOKKE-HEIST - FH04","BUILDING template",2767898,,2767898,Zeewindstraat,13,,,,,
551382,"KNOKKE-HEIST - FH04","BUILDING template",2767938,,2767938,"Zeedijk-Het Zoute",701,,,,,
551383,"KNOKKE-HEIST - FH04","BUILDING template",2767941,,2767941,"Zeedijk-Het Zoute",702,,,,,
551384,"KNOKKE-HEIST - FH04","BUILDING template",2767945,,2767945,"Zeedijk-Het Zoute",704,,,,,
551385,"KNOKKE-HEIST - FH04","BUILDING template",2767960,,2767960,"Zeedijk-Het Zoute",716,,,,,
551386,"KNOKKE-HEIST - FH04","BUILDING template",2767964,,2767964,"Zeedijk-Het Zoute",721,,,,,
551387,"KNOKKE-HEIST - FH04","BUILDING template",2767970,,2767970,"Zeedijk-Het Zoute",728,,,,,
551388,"KNOKKE-HEIST - FH04","BUILDING template",2767974,,2767974,"Zeedijk-Het Zoute",730,,,,,
551389,"KNOKKE-HEIST - FH04","BUILDING template",2767977,,2767977,"Zeedijk-Het Zoute",732,,,,,
551390,"KNOKKE-HEIST - FH04","BUILDING template",2767987,,2767987,"Zeedijk-Het Zoute",736,,,,,
551391,"KNOKKE-HEIST - FH04","BUILDING template",2768015,,2768015,"Zeedijk-Het Zoute",757,A,,,,
551392,"KNOKKE-HEIST - FH04","BUILDING template",2768018,,2768018,"Zeedijk-Het Zoute",761,,,,,
551393,"KNOKKE-HEIST - FH04","BUILDING template",2768020,,2768020,"Zeedijk-Het Zoute",763,,,,,
551394,"KNOKKE-HEIST - FH04","BUILDING template",2768022,,2768022,"Zeedijk-Het Zoute",764,,,,,
551395,"KNOKKE-HEIST - FH04","BUILDING template",2768024,,2768024,"Zeedijk-Het Zoute",766,,,,,
551396,"KNOKKE-HEIST - FH04","BUILDING template",2768028,,2768028,"Zeedijk-Het Zoute",768,,,,,
551397,"KNOKKE-HEIST - FH04","BUILDING template",2768035,,2768035,"Zeedijk-Het Zoute",771,,,,,
551398,"KNOKKE-HEIST - FH04","BUILDING template",2768037,,2768037,"Zeedijk-Het Zoute",773,,,,,
