BUILDING KEY;BG_KEY;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;TSA SIGNED;TSA SIGNED Planrrr;VCA Status;VCA Planrrr
321992;Kustlaan 337-339;;;;;2020-08-03;;;
2762558;Kustlaan 337-339;;;;;2020-08-03;;;
1327496;Zeedijk-Het Zoute 721-723-724;;;;;2020-08-04;;;
2767964;Zeedijk-Het Zoute 721-723-724;;;;;2020-08-04;;;
4067471;Zeedijk-Het Zoute 721-723-724;;;;;2020-08-04;;;
2761511;Zeedijk-Knokke 693-694;;;;;2020-08-04;;;
2761513;Zeedijk-Knokke 693-694;;;;;2020-08-04;;;
2761514;Zeedijk-Knokke 695-696;;;;;2020-07-17;;;
2761516;Zeedijk-Knokke 695-696;;;;;2020-07-17;;;
2762470;Kustlaan 197-199;;;;;;;NOK;
2762473;Kustlaan 197-199;;;;;;;NOK;
2762477;Kustlaan 207-209;;;;;2020-07-17;;;
2762479;Kustlaan 207-209;;;;;2020-07-17;;;
2767895;2767895;;;;;2020-08-03;;;
2768015;2768015;;;;;2020-08-03;;;
34980;334980;;;;;2020-08-07;;;
