LAM MK;xPos;yPos;Street;Nr;Suffix
3968417;173333,579;173359,323;Albert Giraudstraat;1;
3018849;173358,834;173351,886;Albert Giraudstraat;2;
4783941;173335,498;173363,848;Albert Giraudstraat;3;
3018850;173357,418;173358,155;Albert Giraudstraat;4;
3018851;173332,348;173369,954;Albert Giraudstraat;5;
3018852;173358,153;173363,853;Albert Giraudstraat;6;
3018853;173332,701;173375,816;Albert Giraudstraat;7;
4783923;173360,105;173369,346;Albert Giraudstraat;8;
3941197;173337,878;173380,953;Albert Giraudstraat;9;
4225303;173361,536;173374,808;Albert Giraudstraat;10;
4153804;173337,863;173386,774;Albert Giraudstraat;11;
3018854;173363,705;173380,701;Albert Giraudstraat;12;
3018855;173337,809;173392,329;Albert Giraudstraat;13;
4073404;173370,089;173384,308;Albert Giraudstraat;14;
3018856;173340,933;173397,634;Albert Giraudstraat;15;
3018858;173362,992;173391,609;Albert Giraudstraat;16;
3018860;173342,701;173402,907;Albert Giraudstraat;17;
4783927;173363,8;173396,318;Albert Giraudstraat;18;
4783946;173344,412;173408,609;Albert Giraudstraat;19;
4783928;173367,991;173400,422;Albert Giraudstraat;20;
3018861;173344,571;173414,911;Albert Giraudstraat;21;
3018862;173366,868;173406,047;Albert Giraudstraat;22;
3018864;173346,4;173420,171;Albert Giraudstraat;23;
3018865;173368,278;173410,975;Albert Giraudstraat;24;
3018866;173347,792;173425,432;Albert Giraudstraat;25;
3018868;173368,985;173421,961;Albert Giraudstraat;26;
3018869;173347,358;173431,558;Albert Giraudstraat;27;
3968416;173369;173422;Albert Giraudstraat;28;
3923562;173283,404;173630,601;Albrechtplein;1;
3007554;173271;173630;Albrechtplein;2;
3007556;173283,404;173630,601;Albrechtplein;3;
3007558;173283,404;173630,601;Albrechtplein;4;
3011697;173860,474;173463,884;Brabançonnestraat;109;
4783295;173857,393;173460,142;Brabançonnestraat;111;
3011702;173853,047;173456,846;Brabançonnestraat;113;
3011703;173850,446;173451,281;Brabançonnestraat;115;
3011708;173813,589;173403,259;Brabançonnestraat;117;
4259836;173811,394;173395,832;Brabançonnestraat;119;
4019259;173807,39;173391,442;Brabançonnestraat;121;
3967508;173804,996;173386,199;Brabançonnestraat;123;
3967509;173801,229;173382,872;Brabançonnestraat;125;
6140985;173790;173375;Brabançonnestraat;127;
3031598;173495;173494;Constantin Meunierstraat;2;
3031601;173492,794;173488,879;Constantin Meunierstraat;4;
3031603;173488,546;173484,243;Constantin Meunierstraat;6;
3031606;173485,54;173478,323;Constantin Meunierstraat;8;
3031608;173483,041;173471,487;Constantin Meunierstraat;10;
3031609;173479,109;173465,569;Constantin Meunierstraat;12;
3031612;173476,505;173457,677;Constantin Meunierstraat;14;
3031613;173468,412;173453,063;Constantin Meunierstraat;16;
3968566;173459,315;173434,059;Constantin Meunierstraat;18;
6525235;173459;173434;Constantin Meunierstraat;20;
3031619;173454,786;173426,777;Constantin Meunierstraat;22;
4032438;173448,707;173415,502;Constantin Meunierstraat;26;
3031621;173445,766;173410,245;Constantin Meunierstraat;28;
3031622;173513,702;173475,249;Constantin Meunierstraat;29;
4783134;173443,147;173405,332;Constantin Meunierstraat;30;
4782393;173503,778;173460,862;Constantin Meunierstraat;31;
3031624;173502,437;173452,095;Constantin Meunierstraat;33;
3031627;173435,408;173391,117;Constantin Meunierstraat;34;
4782394;173500,474;173446,569;Constantin Meunierstraat;35;
3031631;173429,115;173388,414;Constantin Meunierstraat;36;
5490;173496,534;173442,482;Constantin Meunierstraat;37;
3968563;173493,98;173436,626;Constantin Meunierstraat;39;
3968582;173420;173363;Constantin Meunierstraat;40;
3968282;173488,796;173431,545;Constantin Meunierstraat;41;
3031636;173417,73;173355,143;Constantin Meunierstraat;42;
4782398;173489;173431;Constantin Meunierstraat;43;
3031639;173412,912;173350,971;Constantin Meunierstraat;44;
3031642;173483,551;173408,304;Constantin Meunierstraat;45;
3031644;173410,522;173345,063;Constantin Meunierstraat;46;
4783121;173475,59;173405,057;Constantin Meunierstraat;47;
3031645;173407,444;173338,337;Constantin Meunierstraat;48;
3031646;173473,234;173398,628;Constantin Meunierstraat;49;
3031648;173403,817;173331,578;Constantin Meunierstraat;50;
4205927;173470,559;173394,194;Constantin Meunierstraat;51;
3031650;173400,77;173326,669;Constantin Meunierstraat;52;
3031651;173467,256;173389,639;Constantin Meunierstraat;53;
3031652;173397,324;173321,492;Constantin Meunierstraat;54;
3031654;173465,579;173384,055;Constantin Meunierstraat;55;
3031656;173395,57;173315,933;Constantin Meunierstraat;56;
4783128;173464,26;173378,122;Constantin Meunierstraat;57;
3031657;173391,76;173311,464;Constantin Meunierstraat;58;
3031659;173459,318;173373,46;Constantin Meunierstraat;59;
4783870;173389,732;173306,188;Constantin Meunierstraat;60;
3031661;173460,711;173366,647;Constantin Meunierstraat;61;
3031663;173384,701;173302,939;Constantin Meunierstraat;62;
4783140;173455,185;173360,655;Constantin Meunierstraat;63;
3031666;173382,138;173297,675;Constantin Meunierstraat;64;
4783142;173454;173358;Constantin Meunierstraat;65;
3941326;173378,481;173291,732;Constantin Meunierstraat;66;
3031668;173444,146;173340,766;Constantin Meunierstraat;67;
1311186;173365,07;173269,869;Constantin Meunierstraat;68;
3031670;173358,204;173265,499;Constantin Meunierstraat;70;
3031672;173438,906;173335,085;Constantin Meunierstraat;71;
3031675;173352,592;173260,727;Constantin Meunierstraat;72;
3031678;173434,71;173329,345;Constantin Meunierstraat;73;
3031680;173348,724;173256,623;Constantin Meunierstraat;74;
3031683;173431,963;173319,868;Constantin Meunierstraat;75;
3031686;173344,695;173252,786;Constantin Meunierstraat;76;
4050872;173428,956;173314,217;Constantin Meunierstraat;77;
3031688;173340,395;173248,909;Constantin Meunierstraat;78;
3031691;173424,775;173309,924;Constantin Meunierstraat;79;
3031694;173336,782;173244,969;Constantin Meunierstraat;80;
3941327;173422,071;173304,995;Constantin Meunierstraat;81;
3031696;173332,844;173241,125;Constantin Meunierstraat;82;
3031698;173415,634;173300,573;Constantin Meunierstraat;83;
3031701;173328,869;173237,328;Constantin Meunierstraat;84;
3923643;173404,529;173281,135;Constantin Meunierstraat;85;
3031703;173325,116;173233,395;Constantin Meunierstraat;86;
1311187;173394,19;173250,711;Constantin Meunierstraat;87;
3031705;173320,914;173229,587;Constantin Meunierstraat;88;
3031707;173387,173;173246,721;Constantin Meunierstraat;89;
1311188;173312,145;173221,382;Constantin Meunierstraat;90;
3031711;173380,26;173246,799;Constantin Meunierstraat;91;
3031713;173301,217;173213,651;Constantin Meunierstraat;92;
3031715;173376,965;173241,452;Constantin Meunierstraat;93;
3031716;173293,931;173201,899;Constantin Meunierstraat;94;
3031718;173372,536;173238,196;Constantin Meunierstraat;95;
3031719;173368,241;173234,252;Constantin Meunierstraat;97;
3031721;173363,331;173230,376;Constantin Meunierstraat;99;
3941328;173362,094;173222,816;Constantin Meunierstraat;101;
3031723;173353,865;173221,753;Constantin Meunierstraat;103;
3031726;173348,533;173216,002;Constantin Meunierstraat;105;
3031728;173341,094;173210,913;Constantin Meunierstraat;107;
5484;173313,865;173189,943;Constantin Meunierstraat;111;
5943352;173240;173294;Elzasgang;1;
4790426;173208;173285;Elzasgang;5;
1450360;173195,043;173281,057;Elzasgang;7;
3050817;173195;173285;Elzasgang;9;
3030112;173414,639;173281,079;Emile Mathieustraat;1;
3030115;173401,109;173252,04;Emile Mathieustraat;2;
3030122;173407,415;173253,104;Emile Mathieustraat;4;
3030125;173426,733;173284,581;Emile Mathieustraat;5;
3030128;173413,324;173253,24;Emile Mathieustraat;6;
3030131;173432,874;173284,92;Emile Mathieustraat;7;
3030134;173419,412;173254,737;Emile Mathieustraat;8;
3030136;173439,155;173284,654;Emile Mathieustraat;9;
3030138;173425,1;173256,667;Emile Mathieustraat;10;
3030141;173444,658;173286,479;Emile Mathieustraat;11;
3030142;173430,938;173258,277;Emile Mathieustraat;12;
3030146;173450,5;173288,377;Emile Mathieustraat;13;
3030150;173437,222;173261,305;Emile Mathieustraat;14;
3030154;173456,128;173288,836;Emile Mathieustraat;15;
3030158;173444,296;173260,153;Emile Mathieustraat;16;
3030162;173461,97;173287,918;Emile Mathieustraat;17;
3030163;173451,316;173261,632;Emile Mathieustraat;18;
4800718;173467,282;173289,638;Emile Mathieustraat;19;
3030164;173457,307;173263,06;Emile Mathieustraat;20;
4800719;173472,979;173287,273;Emile Mathieustraat;21;
4800739;173463,873;173264,253;Emile Mathieustraat;22;
3030166;173488,16;173290,495;Emile Mathieustraat;23;
3030170;173470,228;173264,456;Emile Mathieustraat;24;
3030172;173476,07;173264,438;Emile Mathieustraat;26;
3030175;173481,696;173265,706;Emile Mathieustraat;28;
1500751;173487,621;173265,828;Emile Mathieustraat;30;
3030180;173493,918;173267,637;Emile Mathieustraat;32;
3030182;173499,726;173266,629;Emile Mathieustraat;34;
3048922;173416,274;173368,319;Emile Van Arenbergstraat;1;
4876;173412,596;173372,358;Emile Van Arenbergstraat;3;
4783170;173419,344;173400,616;Emile Van Arenbergstraat;4;
3048925;173407,477;173376,545;Emile Van Arenbergstraat;5;
3048926;173413,409;173402,388;Emile Van Arenbergstraat;6;
3048927;173404,964;173382,645;Emile Van Arenbergstraat;7;
3048929;173411,247;173408,857;Emile Van Arenbergstraat;8;
4783158;173400,966;173387,173;Emile Van Arenbergstraat;9;
3048931;173408,2;173414,514;Emile Van Arenbergstraat;10;
3048934;173396,225;173390,683;Emile Van Arenbergstraat;11;
3048935;173405,097;173418,703;Emile Van Arenbergstraat;12;
4878;173393,391;173395,838;Emile Van Arenbergstraat;13;
3048937;173402,21;173423,641;Emile Van Arenbergstraat;14;
3048938;173388,627;173399,831;Emile Van Arenbergstraat;15;
3048939;173396,973;173427,092;Emile Van Arenbergstraat;16;
3048940;173384,78;173403,893;Emile Van Arenbergstraat;17;
3048941;173393,523;173432,164;Emile Van Arenbergstraat;18;
3048942;173380,742;173408,155;Emile Van Arenbergstraat;19;
3048943;173389,836;173436,335;Emile Van Arenbergstraat;20;
3048944;173379,014;173413,51;Emile Van Arenbergstraat;21;
3048946;173385,166;173440,462;Emile Van Arenbergstraat;22;
3048948;173375,82;173417,058;Emile Van Arenbergstraat;23;
3048951;173381,084;173444,888;Emile Van Arenbergstraat;24;
3968584;173373,062;173420,625;Emile Van Arenbergstraat;25;
3048954;173376,425;173451,057;Emile Van Arenbergstraat;26;
1183810;173339,124;173437,616;Emile Van Arenbergstraat;27;
3048960;173370,503;173457,454;Emile Van Arenbergstraat;28;
3048962;173346,532;173447,069;Emile Van Arenbergstraat;29;
3048964;173365,728;173466,296;Emile Van Arenbergstraat;30;
3048965;173345,337;173455,296;Emile Van Arenbergstraat;31;
3048967;173364,224;173477,314;Emile Van Arenbergstraat;32;
4259932;173344,047;173461,202;Emile Van Arenbergstraat;33;
4800258;173357,646;173484,516;Emile Van Arenbergstraat;34;
3048968;173353;173491;Emile Van Arenbergstraat;36;
1465305;173337,52;173476,813;Emile Van Arenbergstraat;39;
4795852;173326,612;173482,658;Emile Van Arenbergstraat;41;
4795854;173333,499;173488,536;Emile Van Arenbergstraat;43;
1183811;173336,389;173496,98;Emile Van Arenbergstraat;45;
5488;173293,966;173355,555;Eugène Gilbertstraat;1;
3018839;173293;173356;Eugène Gilbertstraat;3;
3018841;173306,564;173330,367;Eugène Gilbertstraat;4;
3018842;173301,315;173353,931;Eugène Gilbertstraat;5;
3018844;173315,606;173331,295;Eugène Gilbertstraat;6;
3018845;173306,714;173354,175;Eugène Gilbertstraat;7;
3018846;173324,443;173331,721;Eugène Gilbertstraat;8;
3018847;173315,282;173355,827;Eugène Gilbertstraat;9;
3018848;173323,639;173355,793;Eugène Gilbertstraat;11;
5602479;173331,78;173355,867;Eugène Gilbertstraat;15;
1312415;173764,349;173350,062;Familie de Bayostraat;1;
6189390;173766;173356;Familie de Bayostraat;1;A
1312416;173756;173367;Familie de Bayostraat;2;
4783601;173760,439;173347,951;Familie de Bayostraat;3;
3064049;173738,489;173363,91;Familie de Bayostraat;4;
3064050;173757,312;173342,482;Familie de Bayostraat;5;
3064055;173734,191;173361,683;Familie de Bayostraat;6;
4009347;173752,173;173342,504;Familie de Bayostraat;7;
4783624;173730,51;173358,324;Familie de Bayostraat;8;
3064059;173748,613;173337,596;Familie de Bayostraat;9;
3941681;173720,966;173363,593;Familie de Bayostraat;10;
3064063;173744,624;173335,658;Familie de Bayostraat;11;
3064069;173719,491;173353,173;Familie de Bayostraat;12;
3064073;173738,886;173334,892;Familie de Bayostraat;13;
3064077;173715,669;173349,583;Familie de Bayostraat;14;
3064079;173734,894;173331,514;Familie de Bayostraat;15;
4783628;173710,289;173348,324;Familie de Bayostraat;16;
3064082;173730,831;173329,024;Familie de Bayostraat;17;
3064087;173706,033;173346,415;Familie de Bayostraat;18;
3064090;173726,743;173325,567;Familie de Bayostraat;19;
3064093;173699,547;173342,633;Familie de Bayostraat;20;
3064096;173722,034;173324,455;Familie de Bayostraat;21;
2675780;173698;173340;Familie de Bayostraat;22;
3064110;173716,964;173322,648;Familie de Bayostraat;23;
3064112;173692,741;173339,673;Familie de Bayostraat;24;
3064115;173710,838;173322,451;Familie de Bayostraat;25;
3064119;173688,838;173335,845;Familie de Bayostraat;26;
3064122;173708,054;173318,268;Familie de Bayostraat;27;
3064126;173684,76;173333,451;Familie de Bayostraat;28;
3064129;173703,228;173315,92;Familie de Bayostraat;29;
1312414;173680,576;173331,468;Familie de Bayostraat;30;
3064134;173699,058;173313,763;Familie de Bayostraat;31;
3064135;173695,301;173309,075;Familie de Bayostraat;33;
3064137;173646,975;173319,686;Familie de Bayostraat;34;
1312413;173688,942;173310,717;Familie de Bayostraat;35;
3064141;173640,472;173319,443;Familie de Bayostraat;36;
1312411;173670,36;173305,327;Familie de Bayostraat;37;
4799362;173636,107;173319,468;Familie de Bayostraat;38;
4799376;173663,605;173304,247;Familie de Bayostraat;39;
3064143;173631,058;173317,064;Familie de Bayostraat;40;
4799378;173661,187;173300,239;Familie de Bayostraat;41;
1312476;173626,231;173317,175;Familie de Bayostraat;42;
5480;173656,164;173300,531;Familie de Bayostraat;43;
1312477;173621,191;173314,385;Familie de Bayostraat;44;
4799379;173651,545;173297,921;Familie de Bayostraat;45;
3941682;173616,344;173314,085;Familie de Bayostraat;46;
4799380;173646,802;173295,523;Familie de Bayostraat;47;
3941683;173611,32;173312,453;Familie de Bayostraat;48;
4799384;173641,379;173295,548;Familie de Bayostraat;49;
3064150;173606,948;173311,728;Familie de Bayostraat;50;
3064152;173636,495;173294,274;Familie de Bayostraat;51;
3968237;173602,105;173310,872;Familie de Bayostraat;52;
3064154;173631,769;173293,637;Familie de Bayostraat;53;
3064157;173539,323;173303,92;Familie de Bayostraat;54;
3064161;173626,729;173292,109;Familie de Bayostraat;55;
4215513;173533,581;173301,649;Familie de Bayostraat;56;
4181199;173621,67;173292,569;Familie de Bayostraat;57;
3064164;173527,566;173300,742;Familie de Bayostraat;58;
3064167;173617,565;173289,886;Familie de Bayostraat;59;
3064168;173521,53;173301,212;Familie de Bayostraat;60;
3064171;173613,13;173289,2;Familie de Bayostraat;61;
3064174;173515,849;173300,858;Familie de Bayostraat;62;
4253761;173608,665;173288,429;Familie de Bayostraat;63;
3064176;173507,345;173300,549;Familie de Bayostraat;64;
3064177;173603,872;173287,675;Familie de Bayostraat;65;
3064179;173597,372;173287,396;Familie de Bayostraat;67;
3064182;173592,504;173283,604;Familie de Bayostraat;69;
4800734;173585,777;173284,303;Familie de Bayostraat;71;
3064187;173579,954;173283,746;Familie de Bayostraat;73;
3064189;173573,896;173281,537;Familie de Bayostraat;75;
3064191;173567,609;173281,944;Familie de Bayostraat;77;
3064196;173561,955;173280,199;Familie de Bayostraat;79;
1326903;173555,882;173279,641;Familie de Bayostraat;81;
3064202;173549,776;173279,929;Familie de Bayostraat;83;
3064205;173544,19;173277,007;Familie de Bayostraat;85;
3064206;173538,616;173275,69;Familie de Bayostraat;87;
3064209;173533,519;173274,988;Familie de Bayostraat;89;
3064213;173528,242;173274,032;Familie de Bayostraat;91;
3035059;173496,786;173494,126;Frans Nensstraat;1;
4170813;173494,518;173500,563;Frans Nensstraat;3;
3035062;173490,716;173505,44;Frans Nensstraat;5;
4126710;173491,865;173513,682;Frans Nensstraat;7;
3035065;173488,783;173521,565;Frans Nensstraat;9;
6357621;173486;173535;Frans Nensstraat;13;
3050116;173452,473;173441,258;Frans Vermeylenstraat;1;
3050120;173447,05;173444,23;Frans Vermeylenstraat;3;
4236531;173461,021;173465,093;Frans Vermeylenstraat;4;
3050122;173442,05;173452,41;Frans Vermeylenstraat;5;
3050123;173458,177;173469,905;Frans Vermeylenstraat;6;
3050125;173435,152;173459,099;Frans Vermeylenstraat;7;
4782403;173455,095;173474,962;Frans Vermeylenstraat;8;
3050126;173431,51;173464,572;Frans Vermeylenstraat;9;
3050128;173451,781;173479,215;Frans Vermeylenstraat;10;
3050129;173429,525;173470,149;Frans Vermeylenstraat;11;
4782406;173448,897;173484,024;Frans Vermeylenstraat;12;
3050130;173426,227;173474,49;Frans Vermeylenstraat;13;
3941582;173445,672;173490,307;Frans Vermeylenstraat;14;
3050132;173423,522;173479,685;Frans Vermeylenstraat;15;
3050133;173442,026;173502,316;Frans Vermeylenstraat;16;
3050134;173421,433;173485,309;Frans Vermeylenstraat;17;
3968195;173853,564;173445,299;Frederik Lintsstraat;81;
4783290;173850,735;173440,448;Frederik Lintsstraat;83;
3027353;173851,144;173435,087;Frederik Lintsstraat;85;
4783292;173851,045;173430,424;Frederik Lintsstraat;87;
4783293;173850,65;173424,66;Frederik Lintsstraat;89;
3968196;173850,119;173412,029;Frederik Lintsstraat;93;
3027415;173854,535;173408,944;Frederik Lintsstraat;95;
4783590;173857,659;173404,837;Frederik Lintsstraat;97;
4052583;173860,452;173400,888;Frederik Lintsstraat;99;
4783591;173865,787;173398,868;Frederik Lintsstraat;101;
3027433;173868,046;173393,754;Frederik Lintsstraat;103;
3027443;173872,08;173390,307;Frederik Lintsstraat;105;
3027454;173874,732;173386,202;Frederik Lintsstraat;107;
3027461;173878,704;173382,227;Frederik Lintsstraat;109;
3027470;173882,623;173378,31;Frederik Lintsstraat;111;
3967507;173887,402;173375,536;Frederik Lintsstraat;113;
3968183;173890,625;173371,138;Frederik Lintsstraat;115;
3027511;173895,99;173368,669;Frederik Lintsstraat;117;
3027531;173898,331;173363,958;Frederik Lintsstraat;119;
4791916;173899,682;173357,048;Frederik Lintsstraat;121;
3027557;173905,796;173355,865;Frederik Lintsstraat;123;
3027581;173910,525;173352,493;Frederik Lintsstraat;125;
3027591;173913,874;173349,516;Frederik Lintsstraat;127;
3027608;173918,167;173346,154;Frederik Lintsstraat;129;
3027621;173919,497;173338,079;Frederik Lintsstraat;131;
3027641;173928,347;173338,364;Frederik Lintsstraat;133;
4791920;173930,061;173333,001;Frederik Lintsstraat;135;
3967506;173825,833;173402,263;Frederik Lintsstraat;164;
3027753;173832;173403;Frederik Lintsstraat;166;
3027755;173830,678;173396,522;Frederik Lintsstraat;168;
3027760;173834,843;173392,991;Frederik Lintsstraat;170;
3027766;173839,541;173389,832;Frederik Lintsstraat;172;
4783593;173840,92;173383,601;Frederik Lintsstraat;174;
3027776;173846,451;173381,513;Frederik Lintsstraat;176;
4783594;173850,136;173377,219;Frederik Lintsstraat;178;
3027780;173853,189;173372,614;Frederik Lintsstraat;180;
3027781;173857,263;173368,274;Frederik Lintsstraat;182;
3027788;173863,632;173366,596;Frederik Lintsstraat;184;
3027793;173862,953;173357,788;Frederik Lintsstraat;186;
3027805;173867,89;173354,549;Frederik Lintsstraat;188;
4791975;173867,164;173346,736;Frederik Lintsstraat;190;
3027810;173877,646;173348,508;Frederik Lintsstraat;192;
4791979;173880,407;173343,108;Frederik Lintsstraat;194;
3027816;173884,419;173339,124;Frederik Lintsstraat;196;
3027819;173888,743;173335,706;Frederik Lintsstraat;198;
3027824;173893,695;173333,109;Frederik Lintsstraat;200;
3027834;173898,96;173330,792;Frederik Lintsstraat;202;
3968182;173902,828;173327,353;Frederik Lintsstraat;204;
3027842;173907;173326;Frederik Lintsstraat;206;
3049242;173524,542;173264,192;G. Vander Lindenstraat;1;
3049243;173505,764;173265,929;G. Vander Lindenstraat;2;
3049244;173531,727;173245,201;G. Vander Lindenstraat;5;
3049246;173535,105;173239,546;G. Vander Lindenstraat;7;
3049248;173512,055;173234,86;G. Vander Lindenstraat;8;
1169032;173536,788;173229,662;G. Vander Lindenstraat;9;
3049251;173515,426;173225,059;G. Vander Lindenstraat;10;
3968259;173536,851;173218,023;G. Vander Lindenstraat;11;
3049253;173517,81;173216,002;G. Vander Lindenstraat;12;
3968260;173519,228;173209,766;G. Vander Lindenstraat;14;
4790746;173527,202;173187,755;G. Vander Lindenstraat;16;
5476;173993,185;173359,515;Geldenaaksevest;82;
3968185;173991,672;173353,902;Geldenaaksevest;84;
4791869;173987,795;173350,461;Geldenaaksevest;86;
3018272;173981,628;173348,721;Geldenaaksevest;88;
3018274;173978,932;173343,36;Geldenaaksevest;90;
3018275;173972,856;173341,89;Geldenaaksevest;92;
3018276;173969,342;173336,225;Geldenaaksevest;94;
3018277;173962,961;173334,797;Geldenaaksevest;96;
3018280;173958,341;173331,855;Geldenaaksevest;98;
3018282;173954,298;173326,908;Geldenaaksevest;100;
3018284;173949,404;173323,732;Geldenaaksevest;102;
3018286;173940,359;173320,512;Geldenaaksevest;104;
3018288;173918,794;173310,728;Geldenaaksevest;106;
3018291;173910,375;173305,507;Geldenaaksevest;108;
3018293;173904,86;173303,956;Geldenaaksevest;110;
4798460;173899,301;173301,647;Geldenaaksevest;112;
4798461;173893,948;173299,99;Geldenaaksevest;114;
3018295;173887,999;173299,712;Geldenaaksevest;116;
3018297;173882,761;173297,266;Geldenaaksevest;118;
3018299;173876,026;173297,715;Geldenaaksevest;120;
3018301;173868,879;173301,642;Geldenaaksevest;122;
3013809;173303;173514;Hendrik Consciencestraat;1;
1183809;173297,72;173495,305;Hendrik Consciencestraat;2;
6732912;173309,32;173513,671;Hendrik Consciencestraat;3;
5492;173318,452;173515,847;Hendrik Consciencestraat;5;
4795806;173305,875;173494,645;Hendrik Consciencestraat;6;
4795802;173322,567;173517,716;Hendrik Consciencestraat;7;
3013810;173327,2;173518,373;Hendrik Consciencestraat;9;
3013811;173316,069;173495,121;Hendrik Consciencestraat;10;
4795803;173331,808;173519,056;Hendrik Consciencestraat;11;
3013813;173336,824;173518,686;Hendrik Consciencestraat;13;
